waypoint1	waypoint2	distance_m	duration_s
Magod Falls	Abbey Falls	442331	33406
Magod Falls	Gokak Falls	215397	17315
Magod Falls	Agumbe	240665	18672
Magod Falls	Kundadri	240796	19015
Magod Falls	Jog Falls	116755	9589
Magod Falls	Lalguli Falls	35029	3221
Magod Falls	Coorg	449884	33627
Magod Falls	Hebbe Falls	267622	22542
Magod Falls	Kalhatti Falls	255256	20571
Magod Falls	Kemmanagundi	263934	21640
Magod Falls	Mulliyana Giri	295655	24333
Magod Falls	Kudremukh	306672	24204
Magod Falls	Chikamagalur	289635	23507
Magod Falls	Sathodi Falls	38740	5100
Magod Falls	Nandi Hills	447821	31272
Magod Falls	Kodachadri	184054	18317
Magod Falls	Biligiri Rangaswamy Temple, BR Hills	556074	39371
Magod Falls	Anshi National Park	90551	9085
Magod Falls	Gudavi Bird Sanctuary	95657	8418
Magod Falls	Kokkrebellur Pelicanry	474624	32506
Magod Falls	Bhadra Wildlife Sanctuary	225031	18070
Magod Falls	Ranibennur Blackbuck Sanctuary	149279	12747
Magod Falls	Dandeli Wildlife Sanctuary	72397	6703
Magod Falls	Ranganathittu Bird Sanctuary	423204	33336
Magod Falls	Dubare Reserve Forest	422101	34527
Magod Falls	Daroji Bear Sanctuary	255162	22671
Magod Falls	Bannerghatta National Park	462830	31403
Magod Falls	Rajiv Gandhi National Park	468862	37439
Magod Falls	Adichunchanagiri Peacock Sanctuary	376128	29811
Bandipur National Park	Magod Falls	512168	39720
Magod Falls	Cauvery Wildlife Sanctuary	612923	43643
Magod Falls	Someshwara Wildlife Sanctuary	274707	20256
Gokarna Beach	Magod Falls	93221	8054
Magod Falls	Marwanthe Beach	202179	14728
Magod Falls	Karwar Beach	110579	8265
Magod Falls	Malpe Beach	248813	17977
Magod Falls	Suratkal Beach	290076	20474
Magod Falls	Murdeshwar Beach	150237	11553
Magod Falls	Dharmasthala Sri Manjunatha Swamy Temple	353687	25870
Magod Falls	Kukke Subrahmanya	404789	29551
Murudeshwar Temple	Magod Falls	150573	11666
Magod Falls	Basaveshwara Temple Basavakalyan	480444	38159
Magod Falls	Shree Kshethra Rajarajeshwari Temple,Polali	311590	22670
Magod Falls	Bylakuppe Budda Temple	410903	33535
Magod Falls	Talakadu	513953	35212
Magod Falls	Sri Veeranarayana Swamy Temple	297774	24382
Magod Falls	Sri Gavi Gangadeshwara Temple	447677	31109
Magod Falls	Kotilingeshwara Temple	536724	37262
Krishna Temple Devasthan, Udupi	Magod Falls	248205	17816
Halebeedu Hoysaleswara Temple	Magod Falls	304895	24596
Magod Falls	Bidar	534227	40241
Magod Falls	Bangalore Palace	440010	30389
Magod Falls	Beluru Sri Chennakeshava Temple	315190	25551
Magod Falls	Chitradurga Fort	241597	18805
Bijapur	Magod Falls	281878	21568
Magod Falls	Badami	189791	15079
Magod Falls	Mysore Palace	433578	34403
Magod Falls	Somnathpur	515849	35042
Magod Falls	Pattadakal	211412	16747
Magod Falls	Hampi	249435	22137
Magod Falls	Bangalore Fort	448585	31265
Bellary Fort	Magod Falls	297871	26825
Magod Falls	Tipu Sultan's Summer Palace	448651	31243
Magod Falls	BR Hills	555777	39315
Magod Falls	Baba Budan Giri	307118	25999
Magod Falls	Basavakalyan Fort	481344	38291
Magod Falls	Horanadu Annapoorneshwari Temple	311917	25132
Kukke Subramanya Temple	Magod Falls	404789	29551
Magod Falls	Shivagange	401138	27438
Magod Falls	Aihole	224583	17884
Magod Falls	Gulbarga	415030	32122
Magod Falls	Balmuri Falls	423621	33789
Magod Falls	Triveni Sangama	1680693	116493
Magod Falls	Sri Nimishambha Temple	421388	33127
Magod Falls	Bheemeshwari	451667	31488
Shivanasamudra	Magod Falls	515457	35262
Magod Falls	Kumara Parvatha	412615	33858
Gokak Falls	Abbey Falls	615680	42689
Agumbe	Abbey Falls	212968	18017
Kundadri	Abbey Falls	231151	19732
Jog Falls	Abbey Falls	352239	27642
Lalguli Falls	Abbey Falls	443756	33119
Coorg	Abbey Falls	23398	2809
Hebbe Falls	Abbey Falls	229833	20182
Kalhatti Falls	Abbey Falls	217467	18212
Kemmanagundi	Abbey Falls	226145	19280
Mulliyana Giri	Abbey Falls	186317	16203
Kudremukh	Abbey Falls	200342	16439
Chikamagalur	Abbey Falls	164772	13511
Sathodi Falls	Abbey Falls	435313	34124
Nandi Hills	Abbey Falls	295342	21925
Kodachadri	Abbey Falls	300980	26858
Biligiri Rangaswamy Temple, BR Hills	Abbey Falls	210276	17288
Anshi National Park	Abbey Falls	458522	33963
Gudavi Bird Sanctuary	Abbey Falls	359062	28486
Kokkrebellur Pelicanry	Abbey Falls	185160	14144
Bhadra Wildlife Sanctuary	Abbey Falls	240114	19102
Ranibennur Blackbuck Sanctuary	Abbey Falls	350010	25718
Dandeli Wildlife Sanctuary	Abbey Falls	481124	36602
Ranganathittu Bird Sanctuary	Abbey Falls	124674	10071
Dubare Reserve Forest	Abbey Falls	40035	3777
Daroji Bear Sanctuary	Abbey Falls	435191	32716
Bannerghatta National Park	Abbey Falls	257836	19742
Rajiv Gandhi National Park	Abbey Falls	92023	8793
Adichunchanagiri Peacock Sanctuary	Abbey Falls	173901	13348
Bandipur National Park	Abbey Falls	203125	15270
Cauvery Wildlife Sanctuary	Abbey Falls	279178	22886
Someshwara Wildlife Sanctuary	Abbey Falls	208109	17512
Gokarna Beach	Abbey Falls	370567	28061
Marwanthe Beach	Abbey Falls	244407	18877
Karwar Beach	Abbey Falls	410254	30369
Malpe Beach	Abbey Falls	198939	16114
Suratkal Beach	Abbey Falls	153380	13005
Murdeshwar Beach	Abbey Falls	295287	22536
Dharmasthala Sri Manjunatha Swamy Temple	Abbey Falls	130551	11255
Kukke Subrahmanya	Abbey Falls	79647	7676
Murudeshwar Temple	Abbey Falls	295622	22648
Basaveshwara Temple Basavakalyan	Abbey Falls	778056	58536
Shree Kshethra Rajarajeshwari Temple,Polali	Abbey Falls	131036	11245
Bylakuppe Budda Temple	Abbey Falls	38037	3711
Talakadu	Abbey Falls	171266	13645
Sri Veeranarayana Swamy Temple	Abbey Falls	147957	12401
Sri Gavi Gangadeshwara Temple	Abbey Falls	253655	19597
Kotilingeshwara Temple	Abbey Falls	362761	26033
Krishna Temple Devasthan, Udupi	Abbey Falls	195405	15917
Halebeedu Hoysaleswara Temple	Abbey Falls	135982	11503
Bidar	Abbey Falls	942242	57280
Bangalore Palace	Abbey Falls	266047	19160
Beluru Sri Chennakeshava Temple	Abbey Falls	127589	11960
Chitradurga Fort	Abbey Falls	286162	22934
Bijapur	Abbey Falls	610017	43533
Badami	Abbey Falls	499904	39441
Mysore Palace	Abbey Falls	122102	10167
Somnathpur	Abbey Falls	156801	12716
Pattadakal	Abbey Falls	530210	39589
Hampi	Abbey Falls	429481	32184
Bangalore Fort	Abbey Falls	250029	19877
Bellary Fort	Abbey Falls	409644	32634
Tipu Sultan's Summer Palace	Abbey Falls	250096	19855
BR Hills	Abbey Falls	209979	17232
Baba Budan Giri	Abbey Falls	197780	17869
Basavakalyan Fort	Abbey Falls	778957	58668
Horanadu Annapoorneshwari Temple	Abbey Falls	199768	18770
Kukke Subramanya Temple	Abbey Falls	79647	7676
Shivagange	Abbey Falls	228907	16807
Aihole	Abbey Falls	533457	38922
Gulbarga	Abbey Falls	712643	52498
Balmuri Falls	Abbey Falls	118256	9432
Triveni Sangama	Abbey Falls	1990444	122906
Sri Nimishambha Temple	Abbey Falls	130097	10682
Bheemeshwari	Abbey Falls	277704	20258
Shivanasamudra	Abbey Falls	199217	15797
Kumara Parvatha	Abbey Falls	62445	6848
Agumbe	Gokak Falls	420219	29133
Kundadri	Gokak Falls	420349	29476
Jog Falls	Gokak Falls	333841	23785
Gokak Falls	Lalguli Falls	181959	14027
Gokak Falls	Coorg	614651	44141
Gokak Falls	Hebbe Falls	430818	31817
Kalhatti Falls	Gokak Falls	418452	29846
Kemmanagundi	Gokak Falls	427130	30915
Mulliyana Giri	Gokak Falls	458850	33608
Kudremukh	Gokak Falls	486226	34665
Gokak Falls	Chikamagalur	467701	32176
Sathodi Falls	Gokak Falls	245846	18958
Gokak Falls	Nandi Hills	579296	37679
Gokak Falls	Kodachadri	370740	30136
Gokak Falls	Biligiri Rangaswamy Temple, BR Hills	687548	45778
Anshi National Park	Gokak Falls	225097	17984
Gokak Falls	Gudavi Bird Sanctuary	291669	20507
Gokak Falls	Kokkrebellur Pelicanry	606099	38913
Bhadra Wildlife Sanctuary	Gokak Falls	388227	27345
Ranibennur Blackbuck Sanctuary	Gokak Falls	280754	19154
Gokak Falls	Dandeli Wildlife Sanctuary	174343	13904
Ranganathittu Bird Sanctuary	Gokak Falls	589197	40625
Dubare Reserve Forest	Gokak Falls	588094	41817
Gokak Falls	Daroji Bear Sanctuary	261612	22983
Gokak Falls	Bannerghatta National Park	594305	37811
Gokak Falls	Rajiv Gandhi National Park	634855	44729
Adichunchanagiri Peacock Sanctuary	Gokak Falls	547138	37108
Bandipur National Park	Gokak Falls	678161	47009
Gokak Falls	Cauvery Wildlife Sanctuary	744398	50050
Someshwara Wildlife Sanctuary	Gokak Falls	439949	31193
Gokarna Beach	Gokak Falls	300327	21912
Marwanthe Beach	Gokak Falls	409285	28587
Gokak Falls	Karwar Beach	248274	21129
Malpe Beach	Gokak Falls	455919	31835
Gokak Falls	Suratkal Beach	497182	34332
Gokak Falls	Murdeshwar Beach	357343	25412
Gokak Falls	Dharmasthala Sri Manjunatha Swamy Temple	527706	38188
Kukke Subrahmanya	Gokak Falls	580279	41186
Murudeshwar Temple	Gokak Falls	357679	25524
Basaveshwara Temple Basavakalyan	Gokak Falls	366698	28917
Shree Kshethra Rajarajeshwari Temple,Polali	Gokak Falls	518696	36528
Bylakuppe Budda Temple	Gokak Falls	576896	40825
Gokak Falls	Talakadu	645427	41620
Sri Veeranarayana Swamy Temple	Gokak Falls	463767	31672
Gokak Falls	Sri Gavi Gangadeshwara Temple	579152	37516
Gokak Falls	Kotilingeshwara Temple	668198	43670
Krishna Temple Devasthan, Udupi	Gokak Falls	455311	31675
Halebeedu Hoysaleswara Temple	Gokak Falls	470888	31885
Bidar	Gokak Falls	420481	30999
Bangalore Palace	Gokak Falls	571485	36796
Gokak Falls	Beluru Sri Chennakeshava Temple	487071	33131
Gokak Falls	Chitradurga Fort	373071	25212
Bijapur	Gokak Falls	149235	11556
Badami	Gokak Falls	127724	10594
Mysore Palace	Gokak Falls	599571	41692
Gokak Falls	Somnathpur	647323	41449
Gokak Falls	Pattadakal	147737	11998
Gokak Falls	Hampi	255885	22449
Gokak Falls	Bangalore Fort	580059	37672
Bellary Fort	Gokak Falls	304202	27173
Tipu Sultan's Summer Palace	Gokak Falls	580126	37650
BR Hills	Gokak Falls	687251	45723
Gokak Falls	Baba Budan Giri	470313	35274
Gokak Falls	Basavakalyan Fort	367599	29049
Gokak Falls	Horanadu Annapoorneshwari Temple	477770	35385
Kukke Subramanya Temple	Gokak Falls	580279	41186
Gokak Falls	Shivagange	532613	33845
Gokak Falls	Aihole	159556	12654
Gulbarga	Gokak Falls	301285	22880
Balmuri Falls	Gokak Falls	589614	41078
Gokak Falls	Triveni Sangama	1566948	107251
Gokak Falls	Sri Nimishambha Temple	587380	40417
Bheemeshwari	Gokak Falls	583142	37895
Shivanasamudra	Gokak Falls	646931	41669
Kumara Parvatha	Gokak Falls	581651	42004
Kundadri	Agumbe	18183	1715
Jog Falls	Agumbe	138180	10149
Agumbe	Lalguli Falls	247572	18290
Agumbe	Coorg	220485	18283
Agumbe	Hebbe Falls	151591	12773
Kalhatti Falls	Agumbe	139225	10803
Agumbe	Kemmanagundi	147903	11871
Mulliyana Giri	Agumbe	133731	12124
Agumbe	Kudremukh	78438	6142
Agumbe	Chikamagalur	112185	9433
Sathodi Falls	Agumbe	257353	20743
Agumbe	Nandi Hills	373734	26860
Agumbe	Kodachadri	88012	8841
Agumbe	Biligiri Rangaswamy Temple, BR Hills	369530	29090
Anshi National Park	Agumbe	288036	20945
Agumbe	Gudavi Bird Sanctuary	151004	11394
Agumbe	Kokkrebellur Pelicanry	334135	23256
Agumbe	Bhadra Wildlife Sanctuary	97079	7483
Ranibennur Blackbuck Sanctuary	Agumbe	179894	13934
Agumbe	Dandeli Wildlife Sanctuary	284941	21772
Ranganathittu Bird Sanctuary	Agumbe	275707	21515
Dubare Reserve Forest	Agumbe	233933	19930
Agumbe	Daroji Bear Sanctuary	297936	24123
Agumbe	Bannerghatta National Park	367259	25109
Agumbe	Rajiv Gandhi National Park	296440	23464
Agumbe	Adichunchanagiri Peacock Sanctuary	252293	18283
Bandipur National Park	Agumbe	364672	27899
Agumbe	Cauvery Wildlife Sanctuary	472434	34393
Someshwara Wildlife Sanctuary	Agumbe	19730	2060
Gokarna Beach	Agumbe	200082	15043
Agumbe	Marwanthe Beach	73922	5859
Agumbe	Karwar Beach	239769	17351
Malpe Beach	Agumbe	58816	4972
Agumbe	Suratkal Beach	94425	7400
Agumbe	Murdeshwar Beach	124801	9518
Agumbe	Dharmasthala Sri Manjunatha Swamy Temple	107488	9055
Agumbe	Kukke Subrahmanya	161863	12801
Murudeshwar Temple	Agumbe	125137	9630
Basaveshwara Temple Basavakalyan	Agumbe	651121	49287
Shree Kshethra Rajarajeshwari Temple,Polali	Agumbe	90117	7751
Bylakuppe Budda Temple	Agumbe	226994	19314
Agumbe	Talakadu	330519	25447
