Place,Month,HighTemp,LowTemp,MeanTemp,Precipitation,Humidity,DewPoint,Wind,Pressure,Visibility
Bangalore,Jan,29,16,23,1.0,58,13,4,1013,6
Bangalore,Feb,31,18,24,7.5,49,12,4,1011,7
Bangalore,March,33,20,27,22.6,46,13,4,1009,7
Bangalore,April,34,22,28,85.6,53,17,3,1007,7
Bangalore,May,33,22,27,124.8,65,19,5,1006,7
Bangalore,June,30,21,25,94.8,73,19,8,1006,7
Bangalore,July,29,20,24,138.3,77,19,9,1006,6
Bangalore,August,28,20,24,170.0,78,19,7,1007,6
Bangalore,September,29,20,24,176.6,76,19,6,1008,7
Bangalore,October,29,20,24,116.9,74,18,4,1010,6
Bangalore,November,28,18,23,79.2,73,17,3,1011,6
Bangalore,December,28,17,22,11.2,68,15,4,1012,6
Mangalore,Jan,33,21,27,0.6,65,19,8,1011,4
Mangalore,Feb,34,22,28,5.0,66,20,8,1011,4
Mangalore,March,34,24,29,21.7,71,22,8,1010,4
Mangalore,April,34,25,29,38.0,72,24,8,1009,4
Mangalore,May,33,25,29,87.7,76,24,9,1008,4
Mangalore,June,30,24,27,414.9,87,24,9,1007,4
Mangalore,July,29,23,26,485.2,89,24,10,1008,4
Mangalore,August,29,23,26,364.4,89,24,9,1008,4
Mangalore,September,30,23,27,275.5,86,24,8,1009,4
Mangalore,October,32,23,27,150.8,83,24,7,1009,4
Mangalore,November,33,23,28,109.6,75,22,7,1009,4
Mangalore,December,33,22,28,12.1,67,20,8,1010,4
Mysore,Jan,34,22,28,85.6,53,17,3,1007,7
Mysore,Feb,31,18,24,7.5,49,12,4,1011,7
Mysore,March,33,20,27,22.6,46,13,4,1009,7
Mysore,April,34,22,28,85.6,53,17,3,1007,7
Mysore,May,33,22,27,124.8,65,19,5,1006,7
Mysore,June,30,21,25,94.8,73,19,8,1006,7
Mysore,July,29,20,24,138.3,77,19,9,1006,6
Mysore,August,28,20,24,170.0,78,19,7,1007,6
Mysore,September,29,20,24,176.6,76,19,6,1008,7
Mysore,October,29,20,24,116.9,74,18,4,1010,6
Mysore,November,28,18,23,79.2,73,17,3,1011,6
Mysore,December,28,17,22,11.2,68,15,4,1012,6
Chikmagalur,Jan,33,21,27,0.6,65,19,8,1011,4
Chikmagalur,Feb,34,22,28,5.0,66,20,8,1011,4
Chikmagalur,March,34,24,29,21.7,71,22,8,1010,4
Chikmagalur,April,34,25,29,38.0,72,24,8,1009,4
Chikmagalur,May,33,25,29,87.7,76,24,9,1008,4
Chikmagalur,June,30,24,27,414.9,87,24,9,1007,4
Chikmagalur,July,29,23,26,485.2,89,24,10,1008,4
Chikmagalur,August,29,23,26,364.4,89,24,9,1008,4
Chikmagalur,September,30,23,27,275.5,86,24,8,1009,4
Chikmagalur,October,32,23,27,150.8,83,24,7,1009,4
Chikmagalur,November,33,23,28,109.6,75,22,7,1009,4
Chikmagalur,December,33,22,28,12.1,67,20,8,1010,4
Uttara Kannada,Jan,30,13,22,4.7,51,11,5,1013,5
Uttara Kannada,Feb,33,15,24,3.5,46,11,6,1011,5
Uttara Kannada,March,35,18,26,18.4,48,14,6,1009,5
Uttara Kannada,April,36,20,28,51.8,54,17,7,1007,5
Uttara Kannada,May,35,21,28,73.3,65,19,10,1006,5
Uttara Kannada,June,29,21,25,146.4,82,21,13,1005,4
Uttara Kannada,July,27,20,24,204.0,88,21,14,1006,4
Uttara Kannada,August,27,20,24,156.8,88,21,11,1007,4
Uttara Kannada,September,29,19,24,133.2,85,20,8,1007,4
Uttara Kannada,October,30,19,24,68.5,73,19,5,1009,4
Uttara Kannada,November,30,17,23,44.5,66,16,6,1011,4
Uttara Kannada,December,29,14,22,2.1,59,13,6,1012,4
Kodagu,Jan,33,21,27,0.6,65,19,8,1011,4
Kodagu,Feb,34,22,28,5.0,66,20,8,1011,4
Kodagu,March,34,24,29,21.7,71,22,8,1010,4
Kodagu,April,34,25,29,38.0,72,24,8,1009,4
Kodagu,May,33,25,29,87.7,76,24,9,1008,4
Kodagu,June,30,24,27,414.9,87,24,9,1007,4
Kodagu,July,29,23,26,485.2,89,24,10,1008,4
Kodagu,August,29,23,26,364.4,89,24,9,1008,4
Kodagu,September,30,23,27,275.5,86,24,8,1009,4
Kodagu,October,32,23,27,150.8,83,24,7,1009,4
Kodagu,November,33,23,28,109.6,75,22,7,1009,4
Kodagu,December,33,22,28,12.1,67,20,8,1010,4
